ts,scenario,label,n_packets,total_bytes,cache_misses,instructions,branch_misses
1785726974.9559002,ddos,1,501762,20745932,14876043.0,4221257443.0,10002457.0
1785726975.9960146,ddos,1,493388,20399664,16897206.0,4327451746.0,11119309.0
1785726977.031948,ddos,1,498068,20593148,15187675.0,4188313520.0,9818157.0
1785726978.0719676,ddos,1,502322,20768980,16009287.0,4331909554.0,9737197.0
1785726979.1081436,ddos,1,490142,20265536,15233833.0,4117366726.0,9546562.0
1785726980.1519997,ddos,1,502496,20776168,15707201.0,4187682217.0,9596648.0
1785726981.1963048,ddos,1,502854,20794868,14410416.0,4228735457.0,9927908.0
1785726982.2439845,ddos,1,504646,20867464,14477394.0,4204340590.0,9993516.0
1785726983.2839067,ddos,1,501380,20730040,14920445.0,4212605688.0,9462281.0
1785726984.3160083,ddos,1,495418,20483604,16030080.0,4180414558.0,9755265.0
1785726985.3521664,ddos,1,495620,20491956,16290539.0,4262932754.0,10059250.0
1785726986.3999648,ddos,1,495460,20485348,17541673.0,4326553023.0,11054841.0
1785726987.4398904,ddos,1,501470,20734130,14005448.0,4199597917.0,9875406.0
1785726988.4759529,ddos,1,500110,20677548,15642050.0,4220599998.0,9676509.0
1785726989.5159256,ddos,1,501194,20722352,15412206.0,4192379854.0,9779833.0
1785726990.5520918,ddos,1,497806,20582312,14678284.0,4328695965.0,10196383.0
1785726991.595976,ddos,1,500752,20704080,16788773.0,4262071651.0,9959034.0
1785726992.6359603,ddos,1,498636,20616628,16529310.0,4254261071.0,10215425.0
1785726993.6720695,ddos,1,498836,20624888,15581827.0,4189755139.0,9899970.0
1785726994.71195,ddos,1,491322,20314316,15038089.0,4130871369.0,9556562.0
1785726995.7441814,ddos,1,496124,20512792,15611484.0,4283055298.0,10215371.0
1785726996.7801886,ddos,1,494188,20432768,16822588.0,4336610993.0,10920262.0
1785726997.8161948,ddos,1,500882,20709460,14546353.0,4210524665.0,9743121.0
1785726998.8521895,ddos,1,500342,20687136,14653908.0,4219375599.0,9671617.0
1785726999.8959694,ddos,1,504032,20839656,14614706.0,4220796149.0,9888706.0
1785727000.928234,ddos,1,497028,20550164,14726349.0,4222799130.0,9968801.0
1785727001.9679646,ddos,1,500192,20680940,15494899.0,4192825455.0,9737716.0
1785727003.004145,ddos,1,498398,20606780,15596460.0,4296843626.0,9818128.0
1785727004.0519657,ddos,1,501978,20754764,15934810.0,4259847012.0,10270702.0
1785727005.0919793,ddos,1,496334,20521468,15793182.0,4261551782.0,10419618.0
1785727006.1399696,ddos,1,498122,20595380,16929699.0,4324993894.0,10854560.0
1785727007.179594,ddos,1,501132,20723212,14894841.0,4190132046.0,9572688.0
1785727008.2163522,ddos,1,498982,20632358,15290353.0,4470771049.0,9885155.0
1785727009.259901,ddos,1,503482,20816984,14993363.0,4218635002.0,9695602.0
1785727010.2920702,ddos,1,498032,20593074,14957159.0,4231698296.0,9605510.0
1785727011.328083,ddos,1,498012,20590836,15183437.0,4175135302.0,9930274.0
1785727012.3719947,ddos,1,501230,20723844,15173509.0,4179651005.0,9742592.0
1785727013.4118917,ddos,1,500068,20675804,15461282.0,4268266389.0,9698909.0
1785727014.4479754,ddos,1,497882,20585460,15155240.0,4188329960.0,9802906.0
1785727015.48395,ddos,1,494528,20446828,16779246.0,4356868738.0,10510009.0
1785727016.520062,ddos,1,493536,20405820,17258781.0,4349698160.0,11021455.0
1785727017.5561116,ddos,1,499340,20645720,14558933.0,4202634371.0,9440748.0
1785727018.5922134,ddos,1,499798,20664652,15400124.0,4209484145.0,9804608.0
1785727019.6399417,ddos,1,484502,20032416,14657165.0,4052951020.0,9565150.0
1785727020.6720488,ddos,1,494024,20425992,14255910.0,4210867272.0,9650321.0
1785727021.7081184,ddos,1,500464,20692176,14849076.0,4201613759.0,9786393.0
1785727022.7441416,ddos,1,496990,20548588,14934247.0,4189247433.0,9917058.0
1785727023.7800963,ddos,1,499364,20646708,14835645.0,4211211630.0,9537181.0
1785727024.8199213,ddos,1,501848,20749384,15598525.0,4204088302.0,9655247.0
1785727025.856022,ddos,1,494220,20434100,15566242.0,4254389089.0,10538274.0
1785727026.895932,ddos,1,494080,20428308,16981218.0,4377652175.0,10748833.0
1785727027.935981,ddos,1,501148,20720460,15475708.0,4189739130.0,9652352.0
1785727028.972039,ddos,1,499102,20635884,15063942.0,4308871840.0,9826754.0
1785727030.015984,ddos,1,502552,20778480,15446484.0,4188084709.0,9857175.0
1785727031.055942,ddos,1,499120,20636628,15405039.0,4206443541.0,9781236.0
1785727032.0961516,ddos,1,500922,20711112,15202972.0,4243830381.0,9949751.0
1785727033.1399646,ddos,1,501330,20727976,15242440.0,4191741547.0,9607444.0
1785727034.1761584,ddos,1,498306,20604430,14684547.0,4182969761.0,9572073.0
1785727035.220045,ddos,1,496992,20552088,16069181.0,4488097131.0,10883532.0
1785727036.2599633,ddos,1,497400,20565592,15851617.0,4264378723.0,10368651.0
1785727037.2999284,ddos,1,498570,20615318,16364058.0,4254533454.0,10210207.0
1785727038.3439424,ddos,1,503028,20798148,15433361.0,4191093325.0,9689597.0
1785727039.3761003,ddos,1,496292,20519740,15000062.0,4185387347.0,9750511.0
1785727040.419954,ddos,1,500798,20705984,15347575.0,4322329681.0,9829935.0
1785727041.4641006,ddos,1,502510,20776748,14999994.0,4193359188.0,9698058.0
1785727042.5041192,ddos,1,501210,20723020,14951552.0,4206998327.0,9484168.0
1785727043.5401468,ddos,1,497078,20552224,15795637.0,4191504053.0,10064803.0
1785727044.584165,ddos,1,504082,20841724,14990305.0,4196033341.0,9475664.0
1785727045.6280615,ddos,1,498312,20603236,15990555.0,4268148688.0,10165000.0
1785727046.667911,ddos,1,487746,20166508,16484546.0,4299230791.0,10974561.0
1785727047.700142,ddos,1,498144,20596714,14067538.0,4201877749.0,9718519.0
1785727048.7361166,ddos,1,499880,20668040,15260532.0,4206888588.0,9594835.0
1785727049.7799685,ddos,1,503716,20826596,13965727.0,4201067005.0,9762388.0
1785727050.8120987,ddos,1,498100,20594464,15312865.0,4229745690.0,9702521.0
1785727051.848095,ddos,1,500050,20675068,15254440.0,4225854251.0,9663757.0
1785727052.884097,ddos,1,499558,20654724,15154627.0,4197243177.0,9819039.0
1785727053.93197,ddos,1,504606,20863384,14313513.0,4306100130.0,10143713.0
1785727054.96419,ddos,1,498100,20594468,14914472.0,4200398343.0,9717610.0
1785727056.0080006,ddos,1,497088,20552644,16969904.0,4326235690.0,10585201.0
1785727057.0480838,ddos,1,492922,20380436,17000525.0,4324809745.0,10903030.0
1785727058.0841136,ddos,1,499572,20655316,14620058.0,4197725249.0,9391301.0
1785727059.1278975,ddos,1,500298,20685320,14609476.0,4176341819.0,9929318.0
1785727060.1600978,ddos,1,488140,20182788,14906725.0,4123706942.0,9588864.0
1785727061.203993,ddos,1,499226,20644912,15009694.0,4210383838.0,9624615.0
